Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2314,JSWSTEEL,EQ,348.8,356.0,364.4,320.0,355.0,356.5,355.93,550450,19592059295000.0,,456883,0.8300000000000001
2315,JSWSTEEL,EQ,356.5,363.0,363.0,345.65,357.0,355.7,354.76,199732,7085674640000.001,,99210,0.4967
2316,JSWSTEEL,EQ,355.7,360.0,360.0,345.0,345.95,347.55,351.05,161178,5658091695000.0,,83569,0.5185000000000001
2317,JSWSTEEL,EQ,347.55,351.0,354.0,345.0,345.0,347.65,349.78,219685,7684034505000.0,,128457,0.5847
2320,JSWSTEEL,EQ,347.65,349.0,350.8,339.1,339.1,342.9,347.66,260817,9067673130000.0,,225168,0.8633
2321,JSWSTEEL,EQ,342.9,346.0,346.0,335.0,335.0,335.8,338.61,112526,3810273170000.001,,62419,0.5547
2322,JSWSTEEL,EQ,335.8,339.75,342.0,328.0,330.0,329.55,335.69,163373,5484345350000.0,,114980,0.7038
2323,JSWSTEEL,EQ,329.55,337.0,337.0,308.0,309.05,313.15,320.74,257358,8254618775000.0,,179719,0.6983
2324,JSWSTEEL,EQ,313.15,313.15,322.9,302.0,312.0,313.8,314.07,263792,8284831865000.001,,133278,0.5052000000000001
2327,JSWSTEEL,EQ,313.8,315.0,315.0,288.0,297.0,294.45,303.98,212797,6468663600000.0,,142686,0.6705
2328,JSWSTEEL,EQ,294.45,305.0,305.0,278.05,298.5,298.2,290.02,363269,10535369930000.0,,271634,0.7477
2329,JSWSTEEL,EQ,298.2,310.0,321.0,300.0,320.0,319.35,315.14,868996,27385494575000.0,,796500,0.9166
2330,JSWSTEEL,EQ,319.35,310.3,311.0,260.0,284.9,286.35,299.87,799832,23984721020000.0,,658415,0.8231999999999999
2331,JSWSTEEL,EQ,286.35,290.7,298.9,264.05,281.0,272.2,282.37,209192,5906892450000.0,,103380,0.4942
2334,JSWSTEEL,EQ,272.2,289.9,289.9,225.1,263.0,260.0,258.4,390538,10091308030000.0,,323168,0.8275
2335,JSWSTEEL,EQ,260.0,274.0,275.0,245.0,272.15,265.95,257.97,351325,9063141115000.0,,198284,0.5644
2336,JSWSTEEL,EQ,265.95,275.1,281.9,260.0,260.0,261.15,273.01,139659,3812846695000.001,,81963,0.5869
2337,JSWSTEEL,EQ,261.15,260.0,260.0,251.5,252.55,256.65,256.08,76235,1952223030000.0,,20487,0.2687
2338,JSWSTEEL,EQ,256.65,257.5,290.0,257.5,278.8,280.35,277.39,790554,21929490280000.0,,531004,0.6717000000000001
2341,JSWSTEEL,EQ,280.35,284.65,304.0,282.15,303.0,302.0,295.18,683501,20175907640000.0,,569655,0.8334
2342,JSWSTEEL,EQ,302.0,305.0,309.45,297.0,304.25,303.35,305.06,472625,14417894655000.002,,343862,0.7276
2343,JSWSTEEL,EQ,303.35,305.0,305.0,265.25,290.95,290.3,287.65,110479,3177975870000.0,,44365,0.4015999999999999
2344,JSWSTEEL,EQ,290.3,299.0,299.0,275.05,275.45,276.6,286.12,398165,11392419345000.0,,316218,0.7942
2345,JSWSTEEL,EQ,276.6,283.0,292.5,261.1,283.15,285.05,276.72,148624,4112653485000.0,,63546,0.4276
2348,JSWSTEEL,EQ,285.05,298.0,298.0,271.0,272.0,273.75,282.0,80958,2283052560000.0,,21887,0.2704
2349,JSWSTEEL,EQ,273.75,261.35,268.0,257.1,258.95,260.0,263.24,78402,2063819795000.0,,25886,0.3302
2350,JSWSTEEL,EQ,260.0,265.0,265.0,244.0,245.05,246.1,254.99,145065,3698966270000.001,,64803,0.4467
2351,JSWSTEEL,EQ,246.1,230.4,250.0,205.0,230.0,230.3,223.93,199945,4477270925000.0,,97536,0.4878
2352,JSWSTEEL,EQ,230.3,240.0,265.9,225.0,257.0,255.65,245.66,166746,4096310390000.0,,83974,0.5036
2355,JSWSTEEL,EQ,255.65,258.0,260.0,240.1,246.05,245.7,248.68,79805,1984630500000.0,,19634,0.246
2356,JSWSTEEL,EQ,245.7,233.0,237.05,220.3,220.3,222.1,226.38,98933,2239632470000.0,,50384,0.5093
2357,JSWSTEEL,EQ,222.1,224.95,238.0,207.0,214.9,210.8,220.68,154784,3415840600000.0,,56755,0.3667
2358,JSWSTEEL,EQ,210.8,214.7,234.95,214.7,230.55,231.2,225.76,153154,3457643354999.9995,,72648,0.4743
2359,JSWSTEEL,EQ,231.2,234.55,244.4,225.0,230.0,228.0,235.9,126253,2978310230000.0,,47252,0.3743
2362,JSWSTEEL,EQ,228.0,231.0,249.0,230.35,248.0,245.85,240.22,300961,7229696075000.0,,207093,0.6881
2363,JSWSTEEL,EQ,245.85,240.0,252.0,232.0,247.95,246.35,244.13,126137,3079374220000.0,,66061,0.5236999999999999
2364,JSWSTEEL,EQ,246.35,246.05,260.0,240.05,258.0,256.85,255.04,208418,5315590305000.0,,148364,0.7119
2365,JSWSTEEL,EQ,256.85,259.0,265.0,255.0,255.5,259.5,260.26,126388,3289313235000.0,,72595,0.5744
2366,JSWSTEEL,EQ,259.5,260.0,272.0,246.1,269.55,269.85,264.9,281653,7461050290000.001,,165048,0.5860000000000001
2368,JSWSTEEL,EQ,269.85,274.0,280.0,270.0,270.0,274.05,274.89,40086,1101904320000.0,,18476,0.4609
2369,JSWSTEEL,EQ,274.05,276.0,283.0,262.0,271.0,268.5,271.05,346861,9401610315000.0,,166326,0.4795
2370,JSWSTEEL,EQ,268.5,275.0,279.5,261.2,279.0,276.65,269.11,239853,6454699795000.0,,94766,0.3951
2371,JSWSTEEL,EQ,276.65,270.1,270.9,264.0,268.0,267.45,267.3,194067,5187449195000.0,,126866,0.6537000000000001
2372,JSWSTEEL,EQ,267.45,270.0,277.0,266.55,271.35,269.8,272.73,188989,5154358420000.0,,111295,0.5889
2373,JSWSTEEL,EQ,269.8,280.0,290.0,273.05,276.0,275.25,275.96,372901,10290737655000.0,,291792,0.7825
2376,JSWSTEEL,EQ,275.25,281.0,284.0,274.4,275.5,275.85,278.14,141813,3944379000000.0,,76609,0.5402
2377,JSWSTEEL,EQ,275.85,285.0,285.0,273.6,275.6,275.9,276.29,146065,4035648640000.0,,96812,0.6628000000000001
2378,JSWSTEEL,EQ,275.9,273.65,281.75,271.15,278.0,277.75,276.61,394107,10901437330000.0,,301578,0.7652
2379,JSWSTEEL,EQ,277.75,276.0,285.4,273.0,284.65,284.0,282.27,203077,5732266580000.0,,97467,0.48
2380,JSWSTEEL,EQ,284.0,289.4,289.4,269.5,277.0,277.4,280.25,178415,4999992175000.0,,71576,0.4012
